Tickers,marketcap
PACK,3292618736
CYTK,3287373087
DDD,3276256496
NGVT,3267826127
ITRI,3266845004
IOVA,3266524192
ABM,3264556810
PSFE,3256706250
PIPR,3252221608
LOPE,3246362421
BCO,3242686141
UCBI,3235085349
COOP,3234780120
KYMR,3231736574
AGTI,3223202118
OMI,3221205863
CPA,3211788823
SR,3205449146
TBK,3201296211
BMI,3200225101
WDFC,3198300409
TCBI,3196877577
FCFS,3181142109
PEB,3174201179
RXRX,3173688656
UNIT,3170432259
FOLD,3159764034
FLR,3157727716
WHD,3157717211
IBTX,3155829075
FTDR,3155269435
JOE,3151394102
EVTC,3150120805
PRMW,3147812086
WERN,3146903911
MANT,3145872579
OFC,3145094400
EQC,3144744279
PBH,3143535709
IRTC,3138565535
LILA,3132992138
IHRT,3128361614
PRG,3128318366
TTGT,3113966511
RXT,3103558979
VRNT,3102485014
CNX,3098299615
RCII,3090733384
CNO,3064338037
HAE,3064269544
JW.A,3063871236
CVLT,3052266483
VSH,3043860022
MGNI,3038284939
BDC,3031095805
ONB,3024445498
CDLX,3023832114
IBRX,3019728097
PJT,3016685157
SABR,3014434605
SPXC,2983204386
GSAT,2976379940
NWE,2974051185
CNNE,2965244078
IPAR,2956328377
JJSF,2952045031
FBP,2948942161
GHC,2941883010
FSS,2935729098
HUBG,2932493814
HTH,2927859192
MRCY,2922926289
MCY,2922469700
ITGR,2911272825
NUVA,2905501614
THRM,2903178504
INDB,2901448117
WIRE,2896406981
CENT,2890389411
UNFI,2882097095
TPH,2874846661
WOR,2871975975
FWRD,2870243845
ADV,2863976591
IBOC,2862296759
AIN,2850410480
DOMO,2849613440
AVA,2847006262
ARCB,2845756320
BRC,2842851022
USM,2834193291
BIPC,2830889888
SCL,2829769281
COLB,2826840600
ZUO,2820943923
AXNX,2815340700
MGEE,2814594375
SWIM,2809272344
TRN,2808213109
OPK,2807126078
WWW,2806323388
YELP,2802355693
CVBF,2798518923
PTCT,2792567050
CSTM,2781125280
CCXI,2776747495
DOOR,2776667911
SGFY,2774445857
OTTR,2767393581
AUB,2762851611
SAVA,2753010794
ABR,2747156655
ALLO,2744856266
SHO,2743864637
CTOS,2733838268
UFS,2722989776
FULT,2716359384
SJI,2715631232
BCC,2713825200
SFM,2707675114
CVCO,2707308220
ANF,2698887247
LGND,2697424259
KTOS,2695462133
CVA,2690774032
FIBK,2689066268
ACA,2677464345
RCUS,2675099565
GO,2665433329
PRTA,2664698214
TIL,2662794063
SWI,2659986362
KDMN,#N/A
CORT,2655391400
KAI,2651759840
FLGT,2649629379
UCTT,2644160972
WLL,2643867947
IRT,2640411016
MED,2639207420
REGI,2635179517
